orden_base;orden_pagina;orden_en_pagina;tipo_registro;id_registro;id_padre;seccion;pagina;Marca;ruta_relativa;area_principal;subarea_1;subarea_2;nombre_recurso;grupo_modal;tipo_activo;formatos_disponibles;cantidad_formatos;descripcion_clara;tiene_descargas;cantidad_items_descargables_pagina;cantidad_opciones_descarga_pagina;notas;redundancia_detectada;detalle_redundancia;palabras_clave;texto_indexacion
56;5;6;descargable;D-005-006;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;;Logotipo (color, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos | Recurso: Logotipo (color, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (color, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Logotipo (color, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Nombre del recurso: Logotipo (color, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (color, fondo negro) en formato .ai.
57;5;7;descargable;D-005-007;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;;Logotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos | Recurso: Logotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Flow | Logos | Logotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Nombre del recurso: Logotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco) en formato .ai.
58;5;8;descargable;D-005-008;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;;Logotipo (negro, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos | Recurso: Logotipo (negro, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (negro, fondo marca).;Sí;;;;No;;Ecosistema | Flow | Logos | Logotipo (negro, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Nombre del recurso: Logotipo (negro, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (negro, fondo marca) en formato .ai.
59;5;9;descargable;D-005-009;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Isotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Isotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Isotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Isotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Isotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Isotipo (blanco, fondo negro) en formato .ai.
60;5;10;descargable;D-005-010;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo negro) en formato .ai.
61;5;11;descargable;D-005-011;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (blanco, fondo negro) en formato .ai.
62;5;12;descargable;D-005-012;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo (color, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo (color, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (color, fondo marca).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo (color, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (color, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (color, fondo marca) en formato .ai.
63;5;13;descargable;D-005-013;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo (color, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo (color, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (color, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo (color, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (color, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (color, fondo negro) en formato .ai.
64;5;14;descargable;D-005-014;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (negro, fondo blanco) en formato .ai.
65;5;15;descargable;D-005-015;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo (negro, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo (negro, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo (negro, fondo marca).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo (negro, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo (negro, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo (negro, fondo marca) en formato .ai.
66;5;16;descargable;D-005-016;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo pill (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo pill (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo pill (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo pill (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo pill (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo pill (blanco, fondo negro) en formato .ai.
67;5;17;descargable;D-005-017;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo pill (color, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo pill (color, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo pill (color, fondo marca).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo pill (color, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo pill (color, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo pill (color, fondo marca) en formato .ai.
68;5;18;descargable;D-005-018;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo pill (color, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo pill (color, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo pill (color, fondo negro).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo pill (color, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo pill (color, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo pill (color, fondo negro) en formato .ai.
69;5;19;descargable;D-005-019;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo pill (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo pill (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo pill (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo pill (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo pill (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo pill (negro, fondo blanco) en formato .ai.
70;5;20;descargable;D-005-020;P-005;Ecosistema;Flow;Flow;brands/flow.html;Logos;;Variaciones;Logotipo pill (negro, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Flow | Logos > Variaciones | Recurso: Logotipo pill (negro, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Logotipo pill (negro, fondo marca).;Sí;;;;No;;Ecosistema | Flow | Logos | Variaciones | Logotipo pill (negro, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/flow.html | descargable | descarga;Sección: Ecosistema | Página: Flow | Ruta: brands/flow.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Logotipo pill (negro, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Logotipo pill (negro, fondo marca) en formato .ai.
71;6;0;pagina;P-006;;Ecosistema;Pay;Pay;brands/pay.html;;;;Pay;;Página;;0;"Hub de marca Personal Pay con logos descargables, paleta cromática, banda de sonido y enlaces de redes/sitios. Bloques principales: Logos; Paleta cromática; Banda de sonido; Redes.";Sí;18;84;;No;;"Ecosistema | Pay | brands/pay.html | Logos; Paleta cromática; Banda de sonido; Redes | página | descargas";"Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Descripción: Hub de marca Personal Pay con logos descargables, paleta cromática, banda de sonido y enlaces de redes/sitios. | Bloques: Logos; Paleta cromática; Banda de sonido; Redes | Tiene descargas: Sí | Cantidad de ítems descargables: 18 | Cantidad de opciones de descarga: 84"
72;6;1;descargable;D-006-001;P-006;Ecosistema;Pay;Pay;brands/pay.html;Banda de sonido;;;Pay (color);audio;Audio;mp3, wav;2;Pay | Banda de sonido | Recurso: Pay (color) | Modal / grupo: audio | Tipo de activo: Audio | Formatos disponibles: mp3, wav | Detalle: Banda de sonido: Archivo de audio Pay (color).;Sí;;;;No;;Ecosistema | Pay | Banda de sonido | Pay (color) | audio | Audio | mp3, wav | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Banda de sonido | Nombre del recurso: Pay (color) | Grupo modal: audio | Tipo de activo: Audio | Formatos disponibles: mp3, wav | Banda de sonido: Archivo de audio Pay (color) en formato .mp3.
73;6;2;descargable;D-006-002;P-006;Ecosistema;Pay;Pay;brands/pay.html;Banda de sonido;;;Pay (color);audio;Audio;mp3, wav;2;Pay | Banda de sonido | Recurso: Pay (color) | Modal / grupo: audio | Tipo de activo: Audio | Formatos disponibles: mp3, wav | Detalle: Banda de sonido: Archivo de audio Pay (color).;Sí;;;;No;;Ecosistema | Pay | Banda de sonido | Pay (color) | audio | Audio | mp3, wav | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Banda de sonido | Nombre del recurso: Pay (color) | Grupo modal: audio | Tipo de activo: Audio | Formatos disponibles: mp3, wav | Banda de sonido: Archivo de audio Pay (color) en formato .mp3.
74;6;3;descargable;D-006-003;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Isotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Isotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Pay | Logos | Isotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Isotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (blanco, fondo marca) en formato .ai.
75;6;4;descargable;D-006-004;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Isotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Isotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Pay | Logos | Isotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Isotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (blanco, fondo negro) en formato .ai.
76;6;5;descargable;D-006-005;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Isotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Isotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Pay | Logos | Isotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Isotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (color, fondo blanco) en formato .ai.
77;6;6;descargable;D-006-006;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Isotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Isotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Pay | Logos | Isotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Isotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (negro, fondo blanco) en formato .ai.
78;6;7;descargable;D-006-007;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Logotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Logotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Pay | Logos | Logotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Logotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (blanco, fondo marca) en formato .ai.
79;6;8;descargable;D-006-008;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Logotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Logotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Pay | Logos | Logotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Logotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (blanco, fondo negro) en formato .ai.
80;6;9;descargable;D-006-009;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Logotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Logotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Pay | Logos | Logotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Logotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (color, fondo blanco) en formato .ai.
81;6;10;descargable;D-006-010;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;;Logotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos | Recurso: Logotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Pay | Logos | Logotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Nombre del recurso: Logotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco) en formato .ai.
82;6;11;descargable;D-006-011;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;Variaciones;Lockup Personal Pay (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos > Variaciones | Recurso: Lockup Personal Pay (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Lockup Personal Pay (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Pay | Logos | Variaciones | Lockup Personal Pay (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Lockup Personal Pay (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Lockup Personal Pay (blanco, fondo marca) en formato .ai.
83;6;12;descargable;D-006-012;P-006;Ecosistema;Pay;Pay;brands/pay.html;Logos;;Variaciones;Lockup Personal Pay (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Pay | Logos > Variaciones | Recurso: Lockup Personal Pay (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos > Variaciones: Descarga del activo de identidad Lockup Personal Pay (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Pay | Logos | Variaciones | Lockup Personal Pay (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/pay.html | descargable | descarga;Sección: Ecosistema | Página: Pay | Ruta: brands/pay.html | Área principal: Logos | Subárea 2: Variaciones | Nombre del recurso: Lockup Personal Pay (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos > Variaciones: Descarga del activo de identidad Lockup Personal Pay (blanco, fondo negro) en formato .ai.
